ts,ax,ay,az,gx,gy,gz,mx,my,mz
1740,552.0,-58.0,3941.0,278.0,-202.0,-8.0,1091.0,333.0,-3373.0
1990,552.0,-58.0,3941.0,291.0,-213.0,-14.0,1091.0,333.0,-3373.0
2240,552.0,-65.0,3949.0,279.0,-191.0,-17.0,1091.0,333.0,-3373.0
2490,551.0,-64.0,3951.0,299.0,-196.0,-10.0,1091.0,333.0,-3373.0
2740,551.0,-64.0,3951.0,280.0,-194.0,-16.0,1091.0,333.0,-3373.0
2990,558.0,-57.0,3943.0,296.0,-187.0,-2.0,1091.0,333.0,-3373.0
3240,558.0,-57.0,3943.0,284.0,-184.0,-17.0,1091.0,333.0,-3373.0
3490,549.0,-62.0,3950.0,279.0,-194.0,-25.0,1131.0,355.0,-3403.0
3740,559.0,-59.0,3947.0,283.0,-194.0,-18.0,1131.0,355.0,-3403.0
3990,560.0,-59.0,3943.0,277.0,-199.0,-13.0,1131.0,355.0,-3403.0
4240,558.0,-56.0,3941.0,291.0,-202.0,-17.0,1131.0,355.0,-3403.0
4490,558.0,-56.0,3941.0,272.0,-199.0,-30.0,1131.0,355.0,-3403.0
4740,558.0,-56.0,3949.0,275.0,-197.0,-8.0,1131.0,355.0,-3403.0
4990,561.0,-66.0,3947.0,280.0,-196.0,-25.0,1131.0,355.0,-3403.0
5240,561.0,-66.0,3947.0,293.0,-189.0,-14.0,1131.0,355.0,-3403.0
5490,555.0,-44.0,3943.0,290.0,-183.0,-16.0,1131.0,355.0,-3403.0
5740,557.0,-63.0,3943.0,285.0,-170.0,-17.0,1131.0,355.0,-3403.0
5990,557.0,-63.0,3943.0,271.0,-196.0,-35.0,1131.0,355.0,-3403.0
6240,560.0,-58.0,3947.0,309.0,-194.0,-19.0,1131.0,355.0,-3403.0
6490,560.0,-58.0,3947.0,293.0,-180.0,-7.0,1131.0,355.0,-3403.0
6740,555.0,-54.0,3945.0,272.0,-185.0,-25.0,1105.0,293.0,-3422.0
6990,551.0,-61.0,3950.0,268.0,-186.0,-22.0,1105.0,293.0,-3422.0
7240,556.0,-61.0,3943.0,275.0,-188.0,-28.0,1105.0,293.0,-3422.0
7490,558.0,-59.0,3940.0,307.0,-195.0,-10.0,1105.0,293.0,-3422.0
7740,553.0,-58.0,3950.0,294.0,-215.0,-12.0,1105.0,293.0,-3422.0
7990,559.0,-59.0,3945.0,277.0,-196.0,-18.0,1105.0,293.0,-3422.0
8240,553.0,-55.0,3942.0,286.0,-186.0,-21.0,1087.0,313.0,-3345.0
8490,556.0,-50.0,3942.0,267.0,-196.0,-18.0,1087.0,313.0,-3345.0
8740,555.0,-59.0,3943.0,282.0,-193.0,-19.0,1087.0,313.0,-3345.0
8990,555.0,-59.0,3943.0,306.0,-201.0,-15.0,1087.0,313.0,-3345.0
9240,558.0,-58.0,3941.0,269.0,-182.0,-30.0,1087.0,313.0,-3345.0
9490,556.0,-54.0,3945.0,278.0,-205.0,-18.0,1087.0,313.0,-3345.0
9740,556.0,-54.0,3945.0,295.0,-208.0,-17.0,1087.0,313.0,-3345.0
9990,548.0,-53.0,3951.0,295.0,-205.0,-28.0,1087.0,313.0,-3345.0
10240,556.0,-55.0,3952.0,282.0,-199.0,-20.0,1087.0,313.0,-3345.0
10490,556.0,-55.0,3952.0,294.0,-208.0,-12.0,1087.0,313.0,-3345.0
10740,554.0,-55.0,3943.0,273.0,-197.0,-19.0,1087.0,313.0,-3345.0
10990,555.0,-63.0,3948.0,272.0,-170.0,-20.0,1087.0,313.0,-3345.0
11240,553.0,-58.0,3944.0,295.0,-196.0,-8.0,1087.0,313.0,-3345.0
11490,559.0,-56.0,3948.0,303.0,-203.0,-14.0,1101.0,315.0,-3465.0
11740,559.0,-56.0,3948.0,283.0,-188.0,-32.0,1101.0,315.0,-3465.0
11990,557.0,-62.0,3950.0,294.0,-210.0,-29.0,1101.0,315.0,-3465.0
12240,560.0,-63.0,3943.0,277.0,-204.0,-24.0,1101.0,315.0,-3465.0
12490,558.0,-59.0,3942.0,296.0,-185.0,-15.0,1101.0,315.0,-3465.0
12740,558.0,-57.0,3942.0,284.0,-194.0,-27.0,1101.0,315.0,-3465.0
12990,558.0,-57.0,3942.0,299.0,-201.0,-23.0,1101.0,315.0,-3465.0
13240,557.0,-61.0,3940.0,262.0,-194.0,-25.0,1101.0,315.0,-3465.0
13490,557.0,-61.0,3940.0,296.0,-214.0,-18.0,1101.0,315.0,-3465.0
13740,557.0,-61.0,3940.0,304.0,-196.0,-6.0,1101.0,315.0,-3465.0
13990,557.0,-58.0,3946.0,303.0,-184.0,-16.0,1101.0,315.0,-3465.0
14240,557.0,-58.0,3946.0,295.0,-201.0,-7.0,1101.0,315.0,-3465.0
14490,558.0,-59.0,3945.0,279.0,-192.0,-14.0,1101.0,315.0,-3465.0
14740,563.0,-63.0,3941.0,302.0,-201.0,-16.0,1101.0,315.0,-3465.0
14990,563.0,-63.0,3941.0,297.0,-210.0,-21.0,1101.0,315.0,-3465.0
